MES,MARCA,MODELO,RAZON_INGRESO,INGRESO,COSTO,GANANCIA
ENERO,RENAULT,DUSTER,MECANICA GENERAL,280000,76151,203849
ENERO,CHEVROLETH,SAIL,CAMBIO DE ACEITE Y MECANICA,70000,19038,50962
ENERO,KIA,KIA SOUL,CAMBIO DE ACEITE Y FILTROS,35000,9519,25481
ENERO,TOYOTA,FORTUNER,MECANICA ,70000,19038,50962
ENERO,KIA,SORENTO,SINCRONIZACION,182000,49498,132502
ENERO,KIA,PICANTO ION,CAMBIO DE ACEITE Y FILTROS,35000,9519,25481
ENERO,KIA,PICANTO ION,MANTENIMIENTO DE FRENOS,105000,28557,76444
ENERO,KIA,PICANTO ION,MECANICA,63000,17134,45866
ENERO,KIA,FQ,MECANICA ,70000,19038,50962
ENERO,KIA,REVOLUTION,MECANICA ,150000,40795,109205
ENERO,KIA,REVOLUTION,MECANICA ,70000,19038,50962
ENERO,RENAULT,DUSTER,MECANICA GENERAL,245000,66632,178368
ENERO,KIA,RIO SPICE,ELECTRICIDAD,30000,8159,21841
ENERO,KIA,RIO SPICE,SINCRONIZACION,35000,9519,25481
ENERO,KIA,RIO SPICE,SINCRONIZACION,35000,9519,25481
ENERO,MAZDA,MAZDA 3,MECANICA,35000,9519,25481
ENERO,PEUGEOT,PEUGEOT 2008,CAMBIO DE ACEITE Y FILTROS,35000,9519,25481
ENERO,HYUNDAI,I25,SCANNER,35000,9519,25481
ENERO,FORD,FORD SPOR TRAC,MECANICA,52500,14278,38222
ENERO,FORD,FORD SPOR TRAC,MECANICA,52500,14278,38222
ENERO,HYUNDAI,I25,SCANNER,70000,19038,50962
ENERO,HYUNDAI,I25,SCANNER,35000,9519,25481
ENERO,KIA,CERATO FORTE,MECANICA ,70000,19038,50962
ENERO,KIA,RIO UB,CAMBIO DE ACEITE Y FILTROS,35000,9519,25481
ENERO,KIA,RIO UB,MANTENIMIENTO DE FRENOS,70000,19038,50962
ENERO,MITSUBISHI,MONTERO,MANTENIMIENTO DE FRENOS,105000,28557,76444
ENERO,KIA,CERATO PRO,CAMBIO DE ACEITE Y FILTROS,35000,9519,25481
ENERO,CINASCAR,GRANDTIGGER,REPARACION DE MOTOR,1260000,342678,917322
ENERO,CINASCAR,GRANDTIGGER,ELECTRICIDAD,140000,38075,101925
ENERO,TOYOTA,COROLLA,MECANICA,155000,42155,112845
ENERO,TOYOTA,COROLLA,MECANICA,55000,14958,40042
FEBRERO,KIA,CERATO PRO,SINCRONIZACION,210000,57113,152887
FEBRERO,TOYOTA,TX,MANTENIMIENTO DE FRENOS,105000,28557,76444
FEBRERO,KIA,REVOLUTION,MANTENIMIENTO DE FRENOS,140000,38075,101925
FEBRERO,KIA,MORNING,MECANICA,350000,95188,254812
FEBRERO,KIA,RIO SPICE,MECANICA,30000,8159,21841
FEBRERO,CHEVROLETH,AVEO,MECANICA,35000,9519,25481
FEBRERO,MERCEDEZ,MERCEDES BENZ,MECANICA GENERAL,70000,19038,50962
FEBRERO,RENAULT,DUSTER,CAMBIO DE ACEITE Y FILTROS,35000,9519,25481
FEBRERO,RENAULT,DUSTER,SINCRONIZACION,33000,8975,24025
FEBRERO,NISSAN,D21,SINCRONIZACION,56000,15230,40770
FEBRERO,MAZDA,BT50,MECANICA,60000,16318,43682
FEBRERO,HYUNDAI,TUCSON,MECANICA,192500,52354,140146
FEBRERO,HYUNDAI,TUCSON,SCANNER,87500,23797,63703
FEBRERO,HYUNDAI,TUCSON,MECANICA,30000,8159,21841
